case_id,title,summary,free_text,category,category_slug,duration,daily_hours,invest_amount,revenue_amount,has_main_job,failure_reasons,difficulties,keywords,failure_category,risk_level,source,link,postdate,case_status
survey_attachment_success_001,"주식, 코인을 운영하며 배운 점을 정리한 사례","주식, 코인을 운영하며 배운 점을 정리한 사례","투자 · 재테크 부업을 1년 이상 동안 이어가며 8시간 이상 정도를 꾸준히 투입했다. 초기 투자금은 5,000,000원 수준이었고, 큰 수익으로 바로 이어지지는 않았지만 경험을 쌓는 계기가 됐다. 진행 과정에서는 '실제 수익 발생, 성취감 · 재미를 느낌'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 시간 관리 등을 꼽았다. 운영하면서는 초기 비용 최소화하기에 특히 신경 썼고, 부업 이후의 변화로는 '돈은 쉽게 벌리지않는다는걸 깨달았음'라고 답했다. 처음 시작하는 사람에게는 초반에 돈 관리부터 점검하고, '재테크는 안하는게 좋음 앱테크말고'라는 조언을 남겼다. 추가 메모로는 '스포츠분석 하다 마이너스로 끝남'라고 적었다.",투자 · 재테크,investment,12,8,5000000,,true,SUCCESS_STORY,초기 비용 최소화하기,시간 관리;돈 관리,SUCCESS_STORY,HIGH,survey_attachment,,2026-06-24,SUCCESS
survey_attachment_success_002,"배달 (배민, 쿠팡이츠 등)으로 30만 원 수익을 만든 사례","배달 (배민, 쿠팡이츠 등)으로 30만 원 수익을 만든 사례","플랫폼 노동 부업을 10개월 동안 이어가며 2시간 정도를 꾸준히 투입했다. 초기 투자금은 0원 수준이었고, 수익은 월 평균 300,000원 정도였다. 진행 과정에서는 '실제 수익 발생, 자신감 · 경험 확보'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 꾸준한 실행, 시간 관리 및 플랫폼 선택 등을 꼽았다. 운영하면서는 가격 전략 조정하기 및 멘탈 관리 · 번아웃 조절하기에 특히 신경 썼고, 부업 이후의 변화로는 '자신감이생겼다'라고 답했다. 처음 시작하는 사람에게는 초반에 시장조사부터 점검하고, '시간을 오래두고 지켜봐야함'라는 조언을 남겼다.",플랫폼 노동,platform-labor,10,2,0,300000,true,SUCCESS_STORY,가격 전략 조정하기;멘탈 관리 · 번아웃 조절하기,꾸준한 실행;시간 관리;플랫폼 선택;시장조사,SUCCESS_STORY,LOW,survey_attachment,,2026-06-23,SUCCESS
survey_attachment_success_003,"주식, 코인으로 400만 원 수익을 만든 사례","주식, 코인으로 400만 원 수익을 만든 사례","투자 · 재테크 부업을 1년 이상 동안 이어가며 4시간 정도를 꾸준히 투입했다. 초기 투자금은 200,000,000원 수준이었고, 수익은 월 평균 4,000,000원 정도였다. 진행 과정에서는 '실제 수익 발생, 부업의 지속 가능성 확인 (계속 해도 되겠다 싶은 가능성)'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 꾸준한 실행, 시간 관리 및 커뮤니티 활용 등을 꼽았다. 운영하면서는 시장 · 경쟁 사례 분석하기 및 멘탈 관리 · 번아웃 조절하기에 특히 신경 썼고, 부업 이후의 변화로는 '본업의 부담 덜어냄'라고 답했다. 처음 시작하는 사람에게는 초반에 시작을 하는것부터 점검하고, '시작이 전부다'라는 조언을 남겼다. 추가 메모로는 '장체기를 견더야한다'라고 적었다.",투자 · 재테크,investment,12,4,200000000,4000000,true,SUCCESS_STORY,시장 · 경쟁 사례 분석하기;멘탈 관리 · 번아웃 조절하기,꾸준한 실행;시간 관리;커뮤니티 활용;시작을 하는것,SUCCESS_STORY,HIGH,survey_attachment,,2026-06-22,SUCCESS
survey_attachment_success_004,"유튜브, 블로그으로 5만 원 수익을 만든 사례","유튜브, 블로그으로 5만 원 수익을 만든 사례","콘텐츠 · SNS 부업을 2개월 동안 이어가며 3시간 정도를 꾸준히 투입했다. 초기 투자금은 100,000원 수준이었고, 수익은 월 평균 50,000원 정도였다. 진행 과정에서는 '꾸준한 고객 확보'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 꾸준한 실행, 시장 조사 및 SNS · 마케팅 등을 꼽았다. 운영하면서는 시장 · 경쟁 사례 분석하기 및 가격 전략 조정하기에 특히 신경 썼고, 부업 이후의 변화로는 '성취감 뿌듯함'라고 답했다. 처음 시작하는 사람에게는 초반에 투자비용 적게부터 점검하고, '시장조사하기'라는 조언을 남겼다. 추가 메모로는 '시장조사를 더 열심히 할 것'라고 적었다.",콘텐츠 · SNS,content-sns,2,3,100000,50000,true,SUCCESS_STORY,시장 · 경쟁 사례 분석하기;가격 전략 조정하기,꾸준한 실행;시장 조사;SNS · 마케팅;투자비용 적게,SUCCESS_STORY,MEDIUM,survey_attachment,,2026-06-21,SUCCESS
survey_attachment_success_005,"스마트스토어, 쿠팡으로 200만 원 수익을 만든 사례","스마트스토어, 쿠팡으로 200만 원 수익을 만든 사례","온라인 판매·이커머스 부업을 6개월 동안 이어가며 3시간 정도를 꾸준히 투입했다. 초기 투자금은 10,000,000원 수준이었고, 수익은 월 평균 2,000,000원 정도였다. 진행 과정에서는 '실제 수익 발생, 꾸준한 고객 확보, 부업의 지속 가능성 확인 (계속 해도 되겠다 싶은 가능성)'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 꾸준한 실행, 시장 조사, SNS · 마케팅, 가격 전략, 운 · 타이밍 및 썸네일 · 디자인 등을 꼽았다. 운영하면서는 꾸준히 업로드 · 운영하기, 고객 반응 빠르게 확인하기, 리뷰 · 후기 관리하기 및 시장 · 경쟁 사례 분석하기에 특히 신경 썼고, 부업 이후의 변화로는 '일희일비하지 않는 것'라고 답했다. 처음 시작하는 사람에게는 초반에 철저한 시장조사부터 점검하고, '포기하지 마세요!'라는 조언을 남겼다. 추가 메모로는 '도전의식을 가지고 시작했던 부업이었는데, 생각보다도 더 꾸준히 지속할 수 있는 아이템이었던 것 같습니다. 시간이 지나며 운영 방식도 익숙해졌고, 작은 성과들이 쌓이면서 재미와 자신감도 함께 생겼습니다.'라고 적었다.",온라인 판매·이커머스,online-commerce,6,3,10000000,2000000,true,SUCCESS_STORY,꾸준히 업로드 · 운영하기;고객 반응 빠르게 확인하기;리뷰 · 후기 관리하기;시장 · 경쟁 사례 분석하기,꾸준한 실행;시장 조사;SNS · 마케팅;가격 전략;운 · 타이밍;썸네일 · 디자인;철저한 시장조사,SUCCESS_STORY,HIGH,survey_attachment,,2026-06-20,SUCCESS
survey_attachment_success_006,"디자인, 영상 편집으로 40만 원 수익을 만든 사례","디자인, 영상 편집으로 40만 원 수익을 만든 사례","재능 판매·프리랜서 부업을 1년 이상 동안 이어가며 2시간 정도를 꾸준히 투입했다. 초기 투자금은 0원 수준이었고, 수익은 월 평균 400,000원 정도였다. 진행 과정에서는 '실제 수익 발생, 자신감 · 경험 확보'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 꾸준한 실행, 시장 조사, 가격 전략, 고객 피드백 반영, 플랫폼 선택 및 관련 경험 · 실무 능력 등을 꼽았다. 운영하면서는 꾸준히 업로드 · 운영하기, 고객 반응 빠르게 확인하기, 시장 · 경쟁 사례 분석하기, 가격 전략 조정하기 및 타겟 고객층 명확하게 설정하기에 특히 신경 썼고, 부업 이후의 변화로는 '꾸준히 하면 성과가 있다'라고 답했다. 처음 시작하는 사람에게는 초반에 시장조사 꼼꼼히 하기부터 점검하고, '자기 적성에 맞아야 한다'라는 조언을 남겼다. 추가 메모로는 '자기 전공을 살려 돈을 벌려고 해야 한다'라고 적었다.",재능 판매·프리랜서,talent-freelance,12,2,0,400000,true,SUCCESS_STORY,꾸준히 업로드 · 운영하기;고객 반응 빠르게 확인하기;시장 · 경쟁 사례 분석하기;가격 전략 조정하기;타겟 고객층 명확하게 설정하기,꾸준한 실행;시장 조사;가격 전략;고객 피드백 반영;플랫폼 선택;관련 경험 · 실무 능력;시장조사 꼼꼼히 하기,SUCCESS_STORY,LOW,survey_attachment,,2026-06-19,SUCCESS
survey_attachment_success_007,"배달 (배민, 쿠팡이츠 등)으로 3만 원 수익을 만든 사례","배달 (배민, 쿠팡이츠 등)으로 3만 원 수익을 만든 사례","플랫폼 노동 부업을 6개월 동안 이어가며 1시간 미만 정도를 꾸준히 투입했다. 초기 투자금은 0원 수준이었고, 수익은 월 평균 30,000원 정도였다. 진행 과정에서는 '실제 수익 발생, 성취감 · 재미를 느낌'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 꾸준한 실행 및 관련 경험 · 실무 능력 등을 꼽았다. 운영하면서는 작업 시간 효율적으로 관리하기 및 꾸준히 테스트하고 수정하기에 특히 신경 썼고, 부업 이후의 변화로는 '꾸준히 하다 익숙해지는 순간 수익이 발생한다고 느꼈어요'라고 답했다. 처음 시작하는 사람에게는 초반에 욕심을 버리고 부지런히 익힘부터 점검하고, '능숙해질때까지 포기하지말자'라는 조언을 남겼다. 추가 메모로는 '지금은 약소하지만 능숙해지고 습관이 들어 수익발생이 점점 늘어납니다. 포기가 제일 어리석다'라고 적었다.",플랫폼 노동,platform-labor,6,1,0,30000,true,SUCCESS_STORY,작업 시간 효율적으로 관리하기;꾸준히 테스트하고 수정하기,꾸준한 실행;관련 경험 · 실무 능력;욕심을 버리고 부지런히 익힘,SUCCESS_STORY,LOW,survey_attachment,,2026-06-18,SUCCESS
survey_attachment_success_008,"디자인, 영상 편집으로 50만 원 수익을 만든 사례","디자인, 영상 편집으로 50만 원 수익을 만든 사례","재능 판매·프리랜서 부업을 1년 이상 동안 이어가며 4시간 정도를 꾸준히 투입했다. 초기 투자금은 0원 수준이었고, 수익은 월 평균 500,000원 정도였다. 진행 과정에서는 '실제 수익 발생'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 관련 경험 · 실무 능력 등을 꼽았다. 운영하면서는 꾸준히 업로드 · 운영하기 및 멘탈 관리 · 번아웃 조절하기에 특히 신경 썼고, 부업 이후의 변화로는 '돈을 벌수있어좋았다'라고 답했다. 처음 시작하는 사람에게는 초반에 꾸준히 정해진시간에 제출부터 점검하고, '열심히하세영'라는 조언을 남겼다. 추가 메모로는 '휴식시간에 돈을벌고싶었는데 부업을통해 이루어서 좋았다'라고 적었다.",재능 판매·프리랜서,talent-freelance,12,4,0,500000,true,SUCCESS_STORY,꾸준히 업로드 · 운영하기;멘탈 관리 · 번아웃 조절하기,관련 경험 · 실무 능력;꾸준히 정해진시간에 제출,SUCCESS_STORY,LOW,survey_attachment,,2026-06-17,SUCCESS
survey_attachment_success_009,"배달 (배민, 쿠팡이츠 등)으로 40만 원 수익을 만든 사례","배달 (배민, 쿠팡이츠 등)으로 40만 원 수익을 만든 사례","플랫폼 노동 부업을 7개월 동안 이어가며 3시간 정도를 꾸준히 투입했다. 초기 투자금은 300,000원 수준이었고, 수익은 월 평균 400,000원 정도였다. 진행 과정에서는 '실제 수익 발생, 성취감 · 재미를 느낌'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 꾸준한 실행 및 플랫폼 선택 등을 꼽았다. 운영하면서는 시장 · 경쟁 사례 분석하기 및 꾸준히 테스트하고 수정하기에 특히 신경 썼고, 부업 이후의 변화로는 '바빠지니 잡념이 사라졌다.'라고 답했다. 처음 시작하는 사람에게는 초반에 꾸준함 및 시장상황 파악부터 점검하고, '큰수익은 집중한 시간과 비례한다.'라는 조언을 남겼다. 추가 메모로는 '자기만의 노하우와 시간대, 위치 등 익숙해지고 요령이 생기는 순간까지 버티는게 중요합니다. 부업이라고는 하나 재미와 끈기까지 있다면 더욱 발전가능성이 있습니다.'라고 적었다.",플랫폼 노동,platform-labor,7,3,300000,400000,true,SUCCESS_STORY,시장 · 경쟁 사례 분석하기;꾸준히 테스트하고 수정하기,꾸준한 실행;플랫폼 선택;꾸준함;시장상황 파악,SUCCESS_STORY,LOW,survey_attachment,,2026-06-16,SUCCESS
survey_attachment_success_010,"유튜브, 블로그을 운영하며 배운 점을 정리한 사례","유튜브, 블로그을 운영하며 배운 점을 정리한 사례","콘텐츠 · SNS 부업을 1개월 미만 동안 이어가며 2시간 정도를 꾸준히 투입했다. 초기 투자금은 0원 수준이었고, 큰 수익으로 바로 이어지지는 않았지만 경험을 쌓는 계기가 됐다. 진행 과정에서는 '성취감 · 재미를 느낌'라는 응답이 나올 만큼 의미 있는 변화를 경험했고, 핵심 요인으로는 꾸준한 실행 등을 꼽았다. 운영하면서는 꾸준히 업로드 · 운영하기에 특히 신경 썼고, 부업 이후의 변화로는 '다른 부업도 알아보고싶어짐'라고 답했다. 처음 시작하는 사람에게는 초반에 꾸준하게하는것부터 점검하고, '큰 수익은 바라지말기'라는 조언을 남겼다. 추가 메모로는 '유튜브에 하도 부업에 대한 영상이 많아서 그걸 보고 참고해서 진행함'라고 적었다.",콘텐츠 · SNS,content-sns,1,2,0,,true,SUCCESS_STORY,꾸준히 업로드 · 운영하기,꾸준한 실행;꾸준하게하는것,SUCCESS_STORY,LOW,survey_attachment,,2026-06-15,SUCCESS
