id,source,category,duration,daily_hours,invest_amount,invest_display,revenue_amount,revenue_display,has_main_job,failure_reasons,difficulties,free_text,keywords,failure_category,summary,risk_level
1,pickply,재능_프리랜서,1년 이상,1~3시간,2000909,"200만 909(2,000,909)",1500000,"150만(1,500,000)",예,마케팅 실패,"고객 확보 (마케팅), 운영 지속성",본업말고 수익을 더 얻고싶어서 시작했는데 작업 특성상 주기적인 제안이 들어오지 않았음,프리랜서;제안부족;고객확보,마케팅부족,재능 프리랜서로 1년 운영했으나 주기적 제안 부족으로 고객 확보 실패,medium
2,pickply,콘텐츠_SNS,3~6개월,1시간 미만,0,0,0,0,예,"실행력 부족, 마케팅 실패","수익 구조 이해, 수익화 연결",유튜브보다가 부업좀찾고있었는데 쉽게 돈벌수 있딘고해서 몇개월 따라하다 수익이안되...,유튜브;수익화실패;실행력부족,마케팅부족,"유튜브 콘텐츠 제작, 수익화 방법 이해 부족과 마케팅 전략 없이 실패",low
3,pickply,투자_재테크,3~6개월,3~5시간,1000,"1,000",0,0,예,"시장 조사 부족, 자본 부족","수익화 연결, 정보 부족",주식을 해서 수익을 보려했으나 투자가 실패하고있다.그래서 원금이 반토막이 났다.,주식투자;원금반토막;투자실패,타겟분석실패,"주식 투자로 원금 50% 손실, 시장 조사 부족이 주요 원인",high
4,pickply,온라인판매_이커머스,3~6개월,3~5시간,0,0,0,0,예,시장 조사 부족,수익 구조 이해,"관심있어서 시작했으나 시장조사 및 원가,판매가 측정 어려움",시장조사부족;원가측정;판매가책정,타겟분석실패,이커머스 시작했으나 시장조사와 가격 책정 실패로 수익 못냄,low
5,pickply,투자_재테크,1년 이상,1~3시간,200000000,"2억(200,000,000)",100000000,"1억(100,000,000)",예,원인을 모르겠음,정보 부족,"주식투자, 갑작스런 환경변화(전쟁 등)",주식투자;전쟁;환경변화,기타,주식투자 중 전쟁 등 예측 불가능한 환경변화로 1억원 손실,high
6,pickply,재능_프리랜서,1~3개월,1~3시간,0,0,0,0,예,"실행력 부족, 시간 부족","고객 확보 (마케팅), 수익 구조 이해, 수익화 연결",어디서부터 어떻게 시작해야할지 모르겠다. 어디에 힘을 더해야할지,시작방법불명;고객확보;방향성부족,마케팅부족,프리랜서 부업 시작 단계에서 방향 설정 및 고객 확보 실패,low
7,pickply,플랫폼노동,3~6개월,1~3시간,0,0,150000,"15만(150,000)",예,"시장 조사 부족, 시간 부족","시간 관리, 정보 부족, 경쟁 심화","이동이 많아 카카오T 퀵 배달을 병행하였으나 기름값, 유지비 등 크게 수익이 생기지 않음",카카오T퀵;유지비;기름값,자금부족,"카카오T 퀵 배달, 기름값·유지비로 실질 수익 미미",low
8,pickply,콘텐츠_SNS,1개월 미만,1~3시간,60000,"6만(60,000)",0,0,예,"시장 조사 부족, 실행력 부족","수익 구조 이해, 시간 관리",AI 툴을 이용해서 부업을 진행하려고 했는데 확실히 직장 병행이다 보니 너무 힘듭니다,AI툴;직장병행;시간부족,시간관리,"AI 툴 활용 콘텐츠 부업, 직장 병행으로 시간 부족 실패",low
9,pickply,투자_재테크,1년 이상,1~3시간,0,0,50000,"5만(50,000)",예,"실행력 부족, 시간 부족","수익 구조 이해, 시간 관리, 수익화 연결","식비 충당을 위해 쿠팡 리뷰 체험단, 블로그 체험단 진행했습니다. 네이버 애드포스트도 같이 진행하였으나 수익화에 능력이 없어 약 3년동안 10만원의 수익 얻었습니다",블로그체험단;애드포스트;수익화실패,마케팅부족,"쿠팡·블로그 체험단으로 3년간 10만원 수익, 수익화 능력 부족",low
10,pickply,플랫폼노동,1년 이상,1~3시간,1500000,"150만(1,500,000)",600000,"60만(600,000)",예,경쟁 심화,경쟁 심화,플랫폼을 통한 탁송 업무이나 플랫폼 특성 상 불특정 다수가 동일 건을 두고 가격 경쟁을 하는 경우 경쟁이 심할 때는 적정 단가를 안들 수 없거나 소득이 없게 되는 기간이 발생,탁송플랫폼;가격경쟁;단가하락,경쟁분석부족,"플랫폼 탁송업, 과다경쟁으로 적정단가 유지 불가능",medium
11,pickply,콘텐츠_SNS,3~6개월,1~3시간,1000000,"100만(1,000,000)",400000,"40만(400,000)",예,마케팅 실패,"고객 확보 (마케팅), 수익 구조 이해, 수익화 연결, 운영 지속성, 경쟁 심화",주변에서 스토어 사업을 하는 친구를 통해 처음 부업에 관심을 가지게 되었어요 사업 아이템은 악세사리 사업으로 처음 제가 모델로 사진도 찍고 물품도 구매하였습니다. 하지만 경쟁시장에서 외국 모델을 섭외하고 사업을 더 확장하는 단계에서 자본 부족 시장 조사의 어려움이 이었습니다,악세사리;자본부족;경쟁심화,자금부족,"악세사리 스토어 사업, 확장 단계에서 자본 부족과 경쟁 심화로 실패",medium
