id,source,category,duration,daily_hours,invest_amount,invest_display,revenue_amount,revenue_display,has_main_job,failure_reasons,difficulties,free_text
1,pickply,재능_프리랜서,1년 이상,1~3시간,2000909,"200만 909(2,000,909)",1500000,"150만(1,500,000)",예,마케팅 실패,"고객 확보 (마케팅), 운영 지속성",본업말고 수익을 더 얻고싶어서 시작했는데 작업 특성상 주기적인 제안이 들어오지 않았음
2,pickply,콘텐츠_SNS,3~6개월,1시간 미만,0,0,0,0,예,"실행력 부족, 마케팅 실패","수익 구조 이해, 수익화 연결",유튜브보다가 부업좀찾고있었는데 쉽게 돈벌수 있딘고해서 몇개월 따라하다 수익이안되...
3,pickply,투자_재테크,3~6개월,3~5시간,1000,"1,000",0,0,예,"시장 조사 부족, 자본 부족","수익화 연결, 정보 부족",주식을 해서 수익을 보려했으나 투자가 실패하고있다.그래서 원금이 반토막이 났다.
4,pickply,온라인판매_이커머스,3~6개월,3~5시간,0,0,0,0,예,시장 조사 부족,수익 구조 이해,"관심있어서 시작했으나 시장조사 및 원가,판매가 측정 어려움"
5,pickply,투자_재테크,1년 이상,1~3시간,200000000,"2억(200,000,000)",100000000,"1억(100,000,000)",예,원인을 모르겠음,정보 부족,"주식투자, 갑작스런 환경변화(전쟁 등)"
6,pickply,재능_프리랜서,1~3개월,1~3시간,0,0,0,0,예,"실행력 부족, 시간 부족","고객 확보 (마케팅), 수익 구조 이해, 수익화 연결",어디서부터 어떻게 시작해야할지 모르겠다. 어디에 힘을 더해야할지
7,pickply,플랫폼노동,3~6개월,1~3시간,0,0,150000,"15만(150,000)",예,"시장 조사 부족, 시간 부족","시간 관리, 정보 부족, 경쟁 심화","이동이 많아 카카오T 퀵 배달을 병행하였으나 기름값, 유지비 등 크게 수익이 생기지 않음"
8,pickply,콘텐츠_SNS,1개월 미만,1~3시간,60000,"6만(60,000)",0,0,예,"시장 조사 부족, 실행력 부족","수익 구조 이해, 시간 관리",AI 툴을 이용해서 부업을 진행하려고 했는데 확실히 직장 병행이다 보니 너무 힘듭니다
9,pickply,투자_재테크,1년 이상,1~3시간,0,0,50000,"5만(50,000)",예,"실행력 부족, 시간 부족","수익 구조 이해, 시간 관리, 수익화 연결","식비 충당을 위해 쿠팡 리뷰 체험단, 블로그 체험단 진행했습니다. 네이버 애드포스트도 같이 진행하였으나 수익화에 능력이 없어 약 3년동안 10만원의 수익 얻었습니다"
10,pickply,플랫폼노동,1년 이상,1~3시간,1500000,"150만(1,500,000)",600000,"60만(600,000)",예,경쟁 심화,경쟁 심화,플랫폼을 통한 탁송 업무이나 플랫폼 특성 상 불특정 다수가 동일 건을 두고 가격 경쟁을 하는 경우 경쟁이 심할 때는 적정 단가를 안들 수 없거나 소득이 없게 되는 기간이 발생
11,pickply,콘텐츠_SNS,3~6개월,1~3시간,1000000,"100만(1,000,000)",400000,"40만(400,000)",예,마케팅 실패,"고객 확보 (마케팅), 수익 구조 이해, 수익화 연결, 운영 지속성, 경쟁 심화",주변에서 스토어 사업을 하는 친구를 통해 처음 부업에 관심을 가지게 되었어요 사업 아이템은 악세사리 사업으로 처음 제가 모델로 사진도 찍고 물품도 구매하였습니다. 하지만 경쟁시장에서 외국 모델을 섭외하고 사업을 더 확장하는 단계에서 자본 부족 시장 조사의 어려움이 이었습니다
12,pickply,플랫폼노동,6개월~1년,3~5시간,0,0,1200000,"120만(1,200,000)",예,"자본 부족, 시간 부족",시간 관리,돈을 많이 벌자 라는 계기로 시작했지만 이것저것 하다보니 결국엔 몸이 아프더라구요 욕심부리다 번 만큼 병원비로 나간다는 말이 현실이 될 것 같아서 내려놓았습니다
13,pickply,콘텐츠_SNS,1년 이상,1시간 미만,0,0,15000,"1만 5,000(15,000)",예,"시간 부족, 원인을 모르겠음","수익화 연결, 운영 지속성",퍼스널브랜딩을 위해서 했는데 수익화가 안되네요.
14,pickply,투자_재테크,1년 이상,1시간 미만,1000000,"100만(1,000,000)",700000,"70만(700,000)",예,"시장 조사 부족, 실행력 부족","수익화 연결, 정보 부족",친구들의 추천으로.. 워낙 모르는 부분이라..선뜻 도전도 어려웠고..적극적인 투자도 여전히 어려움
15,pickply,투자_재테크,1년 이상,1~3시간,100000,"10만(100,000)",10000,"1만(10,000)",예,"실행력 부족, 자본 부족","수익 구조 이해, 수익화 연결, 정보 부족",주식이 뜨고 크게 돈 벌고 싶은 마음에 시작 실행력이 부족해서 남들 딸때 못따고 잃었다
16,pickply,플랫폼노동,1년 이상,1~3시간,0,0,30000,"3만(30,000)",아니오,"시장 조사 부족, 실행력 부족","수익화 연결, 운영 지속성",아이 간식값이랑 커피값정도 생각하며 시작했습니다 앱테크를 해보니 낮은 시급이 문제고 설문 하나당 시간 대비 보상이 크지 않습니다. 절대적인 생계 수단보다는 '커피값'이나 '소소한 용돈벌이'로 생각하는 것이 정신 건강에 좋습니다. 설문 시작 후 응답자가 많거나 본인이 대상이 아니면 중간에 끊기는 경우가 빈번합니다. 이 점에 대해 너무 스트레스받지 않는 것이 중요합니다.
17,pickply,온라인판매_이커머스,6개월~1년,1~3시간,100000,"10만(100,000)",0,0,예,"시장 조사 부족, 마케팅 실패","고객 확보 (마케팅), 수익화 연결","중국,미국에 살았던 경험으로 알리바바, 쉬인 등 중국 도매 여러사이트에서 물건 구입 후 국내에서 판매시도 하였으나 마케팅, 실행력, 수익구조 여러 플랫폼 수수료로 인해 수입이 적어 중간 기"
18,pickply,온라인판매_이커머스,6개월~1년,3~5시간,800000,"80만(800,000)",130000,"13만(130,000)",예,"시장 조사 부족, 시간 부족","고객 확보 (마케팅), 운영 지속성, 경쟁 심화",직장 외 수입을 좀더 원해 시작했는데 시간도 많이할애하고 많이팔리지도않아 힘드내요
19,pickply,온라인판매_이커머스,3~6개월,3~5시간,10000000,"1,000만(10,000,000)",800000,"80만(800,000)",예,"시장 조사 부족, 마케팅 실패","수익화 연결, 경쟁 심화",지인 소개로 시작했어요. 경험이 부족하다 보니 여러모로 미흡했어요.
20,pickply,플랫폼노동,1년 이상,1시간 미만,0,0,5000,"5,000",예,실행력 부족,운영 지속성,수익이 적더라도 좋으니 시간 투자를 많이 하지 않고 가볍게 커피값 정도 벌고 싶어서 시작했습니다 그런데 귀찮고 잊어버리는 일이 많아 매일 하기 어려워서 수익이 적었고 그러다보니 꾸준히 진행하기 어려웠던 것 같습니다
21,pickply,플랫폼노동,1년 이상,1~3시간,1000000,"100만(1,000,000)",10000000,"1,000만(10,000,000)",예,시간 부족,시간 관리,내 시간에 맞춰 할 수 있는 일을 찾던중에 시작하게되었고 본업 끝난 후 저녁 피크타임에 주로 합니다 가끔 하지 못하는 경우가 있다면 시간 혹은 체력입니다
22,pickply,투자_재테크,1년 이상,1~3시간,60000000,"6,000만(60,000,000)",500000,"50만(500,000)",예,시장 조사 부족,"시간 관리, 정보 부족, 경쟁 심화",여유자본의 활용 본업과 병행하기에 시간이 부족 정보의 부족
23,pickply,투자_재테크,1년 이상,1시간 미만,50000000,"5,000만(50,000,000)",150000,"15만(150,000)",예,"자본 부족, 시간 부족","시간 관리, 수익화 연결, 경쟁 심화",노동소득만으로는 한계를 느껴 재테크를 시작했고 난해한 정보와 치열한 경쟁으로 인해 투자에 어려움을 겪음
24,pickply,온라인판매_이커머스,1년 이상,3~5시간,10000,"1만(10,000)",1000000,"100만(1,000,000)",예,"실행력 부족, 마케팅 실패","시간 관리, 운영 지속성",시작은 사소하게 일정 금액을 추가로 벌고 싶다는 생각이었는데 퇴근 후에 로그아웃되는 체력에 더 지속하기가 어려웠습니다. 체력적인 어려움에 더불에 지속하기가 어렵다고 느꼈어요.
25,pickply,재능_프리랜서,1년 이상,1시간 미만,0,0,50000,"5만(50,000)",예,"실행력 부족, 시간 부족","시간 관리, 운영 지속성",주변에서 하는것을보고 나도할수있을것같아 시작했는데 생각보다 시간을 꽤 잡아먹었고 지속하기 힘들었다
26,pickply,콘텐츠_SNS,1년 이상,1~3시간,0,0,60000,"6만(60,000)",예,"마케팅 실패, 원인을 모르겠음","수익 구조 이해, 수익화 연결",블로그로 시작했고 꾸준히 업로드하여 애드포스트. 자격을 획득하여 월평균 5-10만원 수익을 얻게 되면서 블로그마케팅업체의 유혹으로 포스팅대행하다가 악성블로그로 낙인찍혀 채널이 쓰레기가 됨
27,pickply,플랫폼노동,1~3개월,5시간 이상,0,0,2200000,"220만(2,200,000)",예,시간 부족,"시간 관리, 운영 지속성",지인 소개로 시작했고 자는 쉬간이 부족해서 채력적으로 힘들었다
28,pickply,플랫폼노동,1년 이상,1~3시간,0,0,50000,"5만(50,000)",예,"실행력 부족, 시간 부족","수익 구조 이해, 시간 관리, 수익화 연결, 운영 지속성","인터넷 광고 등에서 알아보고 시작했는데, 처음에는 수익 구조도 알아보기 힘들고 조언을 구하기도 쉽지 않아서 한동안 방치했던 경험이 있습니다."
29,pickply,콘텐츠_SNS,6개월~1년,3~5시간,0,0,0,0,예,"시장 조사 부족, 마케팅 실패","수익화 연결, 운영 지속성",체험단으로 시작했고 제품홍보로 올리기 시작했습니다! 그러면서 점점 여러 제품 홍보하기 시작했는데 노력하는 것에 비해서 들어오는 돈이 적으니까 현타와서 그만두게 되었습니다..
30,pickply,플랫폼노동,1개월 미만,1~3시간,0,0,500000,"50만(500,000)",예,시장 조사 부족,"고객 확보 (마케팅), 수익 구조 이해",본업하면서 일거리가 많이 줄어들어 쉬는날도 늘고해서 겸업을 하려는데 시장 여건이라던지 준비된 상태가 아닌 상황에 시작을해서 많은 시행착오를 겪었습니다
31,pickply,온라인판매_이커머스,1년 이상,1시간 미만,0,0,100000,"10만(100,000)",예,"실행력 부족, 자본 부족","고객 확보 (마케팅), 시간 관리, 수익화 연결",돈이 필요해서 시작했지만 의지가 부족하고 자료도 부적하여 어려웠다.
32,pickply,재능_프리랜서,1~3개월,3~5시간,0,0,0,0,예,시장 조사 부족,"고객 확보 (마케팅), 수익화 연결, 경쟁 심화","웹소설을 쓰기 시작했지만, 제가쓰는 스타일은 독자층이랑 맞지 않는 것 같습니다. 너무 어렵습니다"
33,pickply,오프라인부업,1개월 미만,1~3시간,100000,"10만(100,000)",0,0,예,시간 부족,수익화 연결,색칠 부업인데 너무 티테일함을 요구하고 시간이 너무 오래걸렸다
34,pickply,재능_프리랜서,1년 이상,3~5시간,500000,"50만(500,000)",10000,"1만(10,000)",예,마케팅 실패,"고객 확보 (마케팅), 수익 구조 이해, 수익화 연결, 운영 지속성, 경쟁 심화",저의 곡들을 유튜브에 소개하고자 시작했고 곡들에 대한 평은 너무 좋았는데 홍보 부족으로 널리 알려지지 못했음
