keyword,category,title,description,link,bloggername,postdate,ad_score,side_score,success_score,noise_score,final_score,is_ad
부업 성공 후기,기타,매트리스 청소창업 부업으로 시작했다가 본업까지 성공한 후기,"가볍게 부업으로 시작해볼 일들을 검색해보기 시작했어요. 그러면서 알게된 게 매트리스... 시간을 내가 조절할 수 있고, 정해진 공간이 없어도 되고, 특별한 경력이 없어도 시작할 수 있다는 점이 부업으로...",https://blog.naver.com/queencome/224223706614,조용한 밤바다,20260320,0,2,3,0,5,False
부업 성공 후기,강의,집에서 하는 부업 추천 리아 숏폼 대행 강의 수익화 성공 후기,"집에서 하는 부업들로 1000만원 날려본 제가 찾아낸, 리스크 없이 한달만에 ' 수익화 가능한 부업 ' 운동... 근데 저에게도 3주차에 수익화 성공이 실현됩니다. 바로 1:1 매칭 일감을 주신거에요! 숙제를 나름...",https://blog.naver.com/jiyea_junjin/224151124936,"햅삐한, hipzzi 라이프",20260119,0,6,3,2,7,False
부업 성공 후기,기타,코바늘 초보 시작해서 재택부업 성공한 사장님이 된 후기,뜨개질로 부업을 시작했답니다^^ 전에 뜨개질로 수세미를 몇 번 만들어보긴 했었지만 아직은 코바늘... 단순 부업만 떠올랐어요 하지만 이런 일들은 단가가 너무 낮기 때문에 하고 싶지 않더라고요 하지만 뜨개질...,https://blog.naver.com/garbeekr/224124323979,HIBIKI,20251227,0,4,3,0,7,False
부업 성공 후기,블로그,2회 택배 및 공장 출근 안하게 된 이유 - 월 150 부업 성공 후기,"주 2회 공장 출근하던 내가 시간 자유를 얻은 이유 - 월 150 부업 성공 후기 블로그 포스팅에 앞서, 이런... 혹시 인생이 잘풀리는 사람들의 공통점을 알고싶으면 해외 30개국을 다니며 수많은 사람들을 만난 후기...",https://blog.naver.com/bbiku123/224073266438,겪어본 사람만 쓸 수 있는 기록 - 인생꿀팁,20251112,0,4,3,0,7,False
부업 성공 후기,기타,광주손부업 두아이 엄마의 성공 후기,진솔한 후기를 작성하고 원고료를 받습니다 안녕하세요~ 저는 두 아이를 키우는 주부로 2년 넘게 광주손부업으로 수익을 내고 있어요 처음에는 아이들 간식비라도 소소하게 벌어보려고 시작한 일이었는데...,https://blog.naver.com/handa1221/223945808949,보람차게 살기,20250726,0,4,3,0,7,False
부업 성공 후기,기타,쿠팡사업자 등록하고 부업 성공한 후기,쿠팡사업자 등록하고 부업 성공한 후기 쿠팡사업자 등록하고 부업 성공한 후기 쿠팡사업자 등록하고 부업 성공한 후기 얼마 전까지만 해도 저는 전형적인 회사원 생활을 하고 있었어요. 출근해서 하루 종일 업무...,https://blog.naver.com/gganggu1243/224078885134,솜사탕맛,20251117,0,2,3,0,5,False
부업 성공 후기,기타,양모펠트 키링 만들기로 취미에서 부업 성공한 후기,"""업체로부터 소정의 수수료를 지급받고 작성한 글입니다"" 양모펠트 키링 만들기로 취미에서 부업 성공한 후기 지인 생일이 다가올 때마다 매번 비슷한 선물이 반복되는 게 조금 아쉽더라구요 그래서 이번엔 좀...",https://blog.naver.com/rbehfdlek2011/224139110149,똑똑한 자격증 정보 :-),20260111,0,2,3,0,5,False
부업 성공 후기,기타,가정부업 성공 후기 공유해요,실제 후기를 작성한 뒤 소정의 수수료를 받습니다 가정부업 찾고 계시나요? 저도 수많은 가정부업을 해봤지만 저한테 맞는 일을 찾기가 어려웠어요 아무리 부업이라지만 만족스러운 수익을 내기도 힘들고요...,https://blog.naver.com/nuna2000u/223791529710,나만의 아우라,20250311,0,4,3,0,7,False
부업 성공 후기,기타,"30대 주부 온라인 부업 후기, 실패와 성공 사이","30대 주부 온라인 부업 후기, 실패와 성공 사이 온라인 부업에 관심을 갖게 된 건 육아휴직 중이었습니다. 아이를 돌보면서 집에 있는 시간이 늘어났고, 동시에 ‘내 수입이 없다’는 불안함도 커졌습니다....",https://blog.naver.com/zbootaue/223888265996,연우의 부업 스토리,20250604,0,2,3,0,5,False
부업 성공 후기,강의,토퍼제작기계 하나로 부업 성공한 후기,"저는 토퍼제작기계로 부업을 시작했는데요! 집에 컴퓨터나 노트북, 토퍼 기계, 종이 및 문구류로... 강의를 진행하는 분도 실제로 토퍼제작기계 하나 사두고 홈공방으로 시작해서 창업까지 성공하셨다고 해요....",https://blog.naver.com/xodms0515/223548143710,떡굽는사람 맛디댜입니다,20240814,0,4,3,0,7,False
