ad_score,bloggername,cafename,cafeurl,category,description,fail_reason,final_score,full_text_length,is_ad,keyword,link,noise_score,postdate,pubDate,relaxed_verdict,side_score,source,success_score,title
0,조용한 밤바다,,,기타,"가볍게 부업으로 시작해볼 일들을 검색해보기 시작했어요. 그러면서 알게된 게 매트리스... 시간을 내가 조절할 수 있고, 정해진 공간이 없어도 되고, 특별한 경력이 없어도 시작할 수 있다는 점이 부업으로...",성공 경험담 패턴 없음,5,2435,False,부업 성공 후기,https://blog.naver.com/queencome/224223706614,0,20260320,,pass_relaxed_pattern,2,blog,3,매트리스 청소창업 부업으로 시작했다가 본업까지 성공한 후기
0,HIBIKI,,,기타,뜨개질로 부업을 시작했답니다^^ 전에 뜨개질로 수세미를 몇 번 만들어보긴 했었지만 아직은 코바늘... 단순 부업만 떠올랐어요 하지만 이런 일들은 단가가 너무 낮기 때문에 하고 싶지 않더라고요 하지만 뜨개질...,성공 경험담 패턴 없음,7,2340,False,부업 성공 후기,https://blog.naver.com/garbeekr/224124323979,0,20251227,,pass_relaxed_pattern,4,blog,3,코바늘 초보 시작해서 재택부업 성공한 사장님이 된 후기
0,솜사탕맛,,,기타,쿠팡사업자 등록하고 부업 성공한 후기 쿠팡사업자 등록하고 부업 성공한 후기 쿠팡사업자 등록하고 부업 성공한 후기 얼마 전까지만 해도 저는 전형적인 회사원 생활을 하고 있었어요. 출근해서 하루 종일 업무...,성공 경험담 패턴 없음,5,2029,False,부업 성공 후기,https://blog.naver.com/gganggu1243/224078885134,0,20251117,,pass_relaxed_pattern,2,blog,3,쿠팡사업자 등록하고 부업 성공한 후기
0,떡굽는사람 맛디댜입니다,,,강의,"저는 토퍼제작기계로 부업을 시작했는데요! 집에 컴퓨터나 노트북, 토퍼 기계, 종이 및 문구류로... 강의를 진행하는 분도 실제로 토퍼제작기계 하나 사두고 홈공방으로 시작해서 창업까지 성공하셨다고 해요....",성공 경험담 패턴 없음,7,2725,False,부업 성공 후기,https://blog.naver.com/xodms0515/223548143710,0,20240814,,pass_relaxed_pattern,4,blog,3,토퍼제작기계 하나로 부업 성공한 후기
0,커피향 가득한 하루,,,기타,"마지막으로, 나만의 재택 부업 성공 비법은? 결국 재택 부업에서 성공하려면 꾸준함과 자기 관리가 제일 중요하다는 걸 느꼈어요. 처음 시작할 때는 정말 힘들었지만, 그 과정을 거치면서 수익도 늘고, 나만의...",성공 경험담 패턴 없음,9,2817,False,부업 성공 후기,https://blog.naver.com/accessnc/224061284670,0,20251101,,pass_relaxed_pattern,6,blog,3,재택 부업 내가 해본 진짜 후기! 성공할 수 있을까?
0,닥터인사이트,,,기타,하는 부업은 시작하기 전부터 부담으로 느껴졌어요. 시간을 들인 만큼 결과가 따라오지 않는 경우도... 이용자 후기를 살펴보는 과정에서도 일회성 이야기가 아니라 지속적으로 사용 중이라는 글들이 많아...,성공 경험담 패턴 없음,8,3876,False,부업 성공 후기,https://blog.naver.com/handan3544/224149074415,0,20260116,,pass_relaxed_pattern,2,blog,6,집에서 하는 부업 성공 경험 공유해요
0,싱거미싱,,,기타,실제 부업으로 시작해서 성공하기까지의 생생한 스토리와 함께 소잉사업을 통해 수익창출의 노하우까지 전수해 주셨습니다. 바느질 입문자가 처음 미싱을 해볼까?라고 했을 때 대부분은 취미로 시작하기...,성공 경험담 패턴 없음,10,2684,False,부업 성공 후기,https://blog.naver.com/singerkorea/223966673942,0,20250811,,pass_relaxed_pattern,4,blog,6,싱거미싱으로 부업을 해볼까?... 2025 부자언니 성공 강연회 후기
0,도토리월드,,,기타,요즘은 휴대폰을 이용해 수익 구조를 만드는 재택부업이 사람들에게 인기죠. 앱테크는 시간과 장소에... 실제로 저의 지인분은 부업이 생활비를 아끼고 모으는데 많은 도움이 된다고 추천해 주셨어요. 하지만...,성공 경험담 패턴 없음,9,2528,False,부업 성공 후기,https://blog.naver.com/kizenlove01/223886332486,2,20250602,,pass_relaxed_pattern,8,blog,3,재택부업으로 직장인 부수입 만들기 성공한 5월 정산 후기
0,misskorea456님의블로그,,,기타,자격증 취득 후 프리랜서 부업과 방과후교사로 활동 중이에요 자격증을 따고 나니 이걸 활용할 수 있는 길이 생각보다 훨씬 무궁무진하더라고요. 가장 좋은 점은 초기 자본이 거의 들지 않는 소자본 부업이나...,성공 경험담 패턴 없음,5,2325,False,부업 성공 후기,https://blog.naver.com/misskorea456/224273196355,0,20260503,,pass_relaxed_pattern,2,blog,3,초보 드로잉 실기 독학 방과후교사 공방 부업 성공한 후기예요
0,숲속의사랑나무,,,기타,"주말알바 급여 필요하다면 부업으로 성공했던 후기 주말알바를 하게 된 건 아주 현실적인 이유 때문이었어요. 평일에는 고정적인 일이 있었지만, 그걸로는 생활비가 빠듯하다는 느낌이 들었고, 그렇다고 당장 큰...",성공 경험담 패턴 없음,8,2105,False,부업 성공 후기,https://blog.naver.com/y0eaxpfh/224123033550,0,20251226,,pass_relaxed_pattern,2,blog,6,주말알바 급여 필요하다면 부업으로 성공했던 후기
0,HIBIKI,,,기타,""" 이 포스팅을 업체로부터 소정의 수수료를 지급받고 작성한 글입니다 "" 가내부업 성공해서 편하게... 첫 주문은 당연히 조금 시간이 걸리긴 했지만 일주일 뒤부터 판매가 이뤄지고 나서 많은 분들이 후기를...",성공 경험담 패턴 없음,7,1395,False,부업 성공 후기,https://blog.naver.com/garbeekr/224103225788,0,20251209,,pass_relaxed_pattern,4,blog,3,가내부업 성공해서 편하게 수익내기
0,연우의 부업 스토리,,,기타,"부업 성공한 사람 후기 행동 1: 목표 설정과 계획 수립 부업 성공자들의 후기를 보면 대부분 처음부터 목표를 명확하게 세웠습니다. 예시 목표: 월 50만 원 이상 추가 수익 달성, 6개월 내 온라인 스토어 개설 실행...",성공 경험담 패턴 없음,7,2271,False,부업 성공 후기,https://blog.naver.com/zbootaue/223946785828,0,20250725,,pass_relaxed_pattern,4,blog,3,"부업 성공한 사람 후기, 그들이 공통적으로 한 행동 5가지"
0,용쓰 수다이야기,,,기타,얼마든지 부업으로 하기 좋아요 그리고 학력이나 나이에도 차별이 없으니 취미처럼 즐기며 돈 벌기 최적화 되어있죠 레진아트 몰드 같은 재료도 공짜로 지원받고 다양한 혜택도 받으며 시작이 가능하니까...,성공 경험담 패턴 없음,7,2137,False,부업 성공 후기,https://blog.naver.com/nike8319/223844113807,0,20250423,,pass_relaxed_pattern,4,blog,3,레진아트 몰드 지원받고 재택 부업 성공한 후기
0,linguistic_83507님의 블로그,,,기타,여자 남자 재택부업 실패 후 성공한 후기 성공을 향한 여정의 시작 여자 남자 누구나 한 번쯤은 꿈꾸는 성공적인 부업. 나 또한 예외는 아니었다. 그러나 다양한 부업 시도 끝에 실패하고 말았다. 주말재택알바...,성공 경험담 패턴 없음,7,990,False,부업 성공 후기,https://blog.naver.com/linguistic_83507/224250070970,0,20260502,,pass_relaxed_pattern,4,blog,3,여자 남자 재택부업 실패 후 성공한 후기
0,보람차게 살기,,,스마트스토어,"분의 후기를 보게 됐는데, 리본공예 재료를 지원받아 재택부업으로 판매 수익을 내고 있다는 거예요 교육부터 판매까지 지원해주는 전문 기관도 있더라구요! 이곳은 리본공예뿐만 아니라 40가지가 넘는 수공예...",성공 경험담 패턴 없음,11,1985,False,부업 성공 후기,https://blog.naver.com/handa1221/223994102841,0,20250905,,pass_relaxed_pattern,8,blog,3,리본공예재료쇼핑몰 안쓰고 부업 성공한 비밀
