ad_score,bloggername,cafename,cafeurl,category,description,fail_reason,final_score,full_text_length,is_ad,keyword,link,noise_score,postdate,pubDate,side_score,source,success_score,title
0,조용한 밤바다,,,기타,"가볍게 부업으로 시작해볼 일들을 검색해보기 시작했어요. 그러면서 알게된 게 매트리스... 시간을 내가 조절할 수 있고, 정해진 공간이 없어도 되고, 특별한 경력이 없어도 시작할 수 있다는 점이 부업으로...",성공 경험담 패턴 없음,5,2435,False,부업 성공 후기,https://blog.naver.com/queencome/224223706614,0,20260320,,2,blog,3,매트리스 청소창업 부업으로 시작했다가 본업까지 성공한 후기
0,HIBIKI,,,기타,뜨개질로 부업을 시작했답니다^^ 전에 뜨개질로 수세미를 몇 번 만들어보긴 했었지만 아직은 코바늘... 단순 부업만 떠올랐어요 하지만 이런 일들은 단가가 너무 낮기 때문에 하고 싶지 않더라고요 하지만 뜨개질...,성공 경험담 패턴 없음,7,2340,False,부업 성공 후기,https://blog.naver.com/garbeekr/224124323979,0,20251227,,4,blog,3,코바늘 초보 시작해서 재택부업 성공한 사장님이 된 후기
0,솜사탕맛,,,기타,쿠팡사업자 등록하고 부업 성공한 후기 쿠팡사업자 등록하고 부업 성공한 후기 쿠팡사업자 등록하고 부업 성공한 후기 얼마 전까지만 해도 저는 전형적인 회사원 생활을 하고 있었어요. 출근해서 하루 종일 업무...,성공 경험담 패턴 없음,5,2029,False,부업 성공 후기,https://blog.naver.com/gganggu1243/224078885134,0,20251117,,2,blog,3,쿠팡사업자 등록하고 부업 성공한 후기
0,연우의 부업 스토리,,,기타,"30대 주부 온라인 부업 후기, 실패와 성공 사이 온라인 부업에 관심을 갖게 된 건 육아휴직 중이었습니다. 아이를 돌보면서 집에 있는 시간이 늘어났고, 동시에 ‘내 수입이 없다’는 불안함도 커졌습니다....",성공 경험담 패턴 없음,5,2538,False,부업 성공 후기,https://blog.naver.com/zbootaue/223888265996,0,20250604,,2,blog,3,"30대 주부 온라인 부업 후기, 실패와 성공 사이"
0,떡굽는사람 맛디댜입니다,,,강의,"저는 토퍼제작기계로 부업을 시작했는데요! 집에 컴퓨터나 노트북, 토퍼 기계, 종이 및 문구류로... 강의를 진행하는 분도 실제로 토퍼제작기계 하나 사두고 홈공방으로 시작해서 창업까지 성공하셨다고 해요....",성공 경험담 패턴 없음,7,2725,False,부업 성공 후기,https://blog.naver.com/xodms0515/223548143710,0,20240814,,4,blog,3,토퍼제작기계 하나로 부업 성공한 후기
0,always be happy,,,블로그,"요즘 부업 고민 안 해본 분 거의 없지 않나요? 월급은 크게 오르지 않는데 생활비는 계속 올라가니까, 자연스럽게 수입을 하나 더 만들 방법을 찾게 되더라고요. 그중에서도 집에서 할 수 있는 블로그 부업은...",성공 경험담 패턴 없음,12,1374,False,부업 성공 후기,https://blog.naver.com/pretty4415/224189455669,0,20260220,,6,blog,6,블로그 글쓰기 부업 30대 꾸준한 수익화 성공한 인증 후기
0,커피향 가득한 하루,,,기타,"마지막으로, 나만의 재택 부업 성공 비법은? 결국 재택 부업에서 성공하려면 꾸준함과 자기 관리가 제일 중요하다는 걸 느꼈어요. 처음 시작할 때는 정말 힘들었지만, 그 과정을 거치면서 수익도 늘고, 나만의...",성공 경험담 패턴 없음,9,2817,False,부업 성공 후기,https://blog.naver.com/accessnc/224061284670,0,20251101,,6,blog,3,재택 부업 내가 해본 진짜 후기! 성공할 수 있을까?
0,닥터인사이트,,,기타,하는 부업은 시작하기 전부터 부담으로 느껴졌어요. 시간을 들인 만큼 결과가 따라오지 않는 경우도... 이용자 후기를 살펴보는 과정에서도 일회성 이야기가 아니라 지속적으로 사용 중이라는 글들이 많아...,성공 경험담 패턴 없음,8,3876,False,부업 성공 후기,https://blog.naver.com/handan3544/224149074415,0,20260116,,2,blog,6,집에서 하는 부업 성공 경험 공유해요
0,싱거미싱,,,기타,실제 부업으로 시작해서 성공하기까지의 생생한 스토리와 함께 소잉사업을 통해 수익창출의 노하우까지 전수해 주셨습니다. 바느질 입문자가 처음 미싱을 해볼까?라고 했을 때 대부분은 취미로 시작하기...,성공 경험담 패턴 없음,10,2684,False,부업 성공 후기,https://blog.naver.com/singerkorea/223966673942,0,20250811,,4,blog,6,싱거미싱으로 부업을 해볼까?... 2025 부자언니 성공 강연회 후기
0,도토리월드,,,기타,요즘은 휴대폰을 이용해 수익 구조를 만드는 재택부업이 사람들에게 인기죠. 앱테크는 시간과 장소에... 실제로 저의 지인분은 부업이 생활비를 아끼고 모으는데 많은 도움이 된다고 추천해 주셨어요. 하지만...,성공 경험담 패턴 없음,9,2528,False,부업 성공 후기,https://blog.naver.com/kizenlove01/223886332486,2,20250602,,8,blog,3,재택부업으로 직장인 부수입 만들기 성공한 5월 정산 후기
